SYMBOL,CLOSE_PRICE,MOMENTUM_PRICE,MOMENTUM_INTRADAY,MOMENTUM_VOLUME,VOLATILITY_DAILY,FINAL_SCORE,RECOMMENDATION
HALDYNGL,107.84,-0.009272137227622535,-1.9636363636363605,11.684646784405198,0.0341,36.71235247327229,WATCH
CEWATER,306.65,-0.6479831524380366,-0.7765733700048646,16.925955237143175,0.0299,36.693135011685534,WATCH
SGIL,551.05,0.04538852578068264,0.02722817208204343,2.1489364656225702,0.0258,36.671611249708604,WATCH
RAINBOW,1260.7,0.6707657909446691,0.8560000000000036,28.05071920470954,0.0179,36.64479562214046,WATCH
GEECEE,296.7,0.26019666813097075,-0.2521432173474533,0.16175163834277462,0.0265,36.633135342206806,WATCH
EXPLEOSOL,821.1,0.8288819303739179,0.1341463414634174,4.19651782739087,0.0234,36.599288631751136,WATCH
AARTECH,48.06,-1.1924342105263122,-1.2127440904419247,11.614531267355325,0.0348,36.542955407779864,WATCH
ETHOSLTD,2389.5,-0.5121159130652086,-0.5121159130652086,4.914681217371987,0.024,36.539778366743576,WATCH
SHYAMCENT,5.7,-1.8932874354561005,-1.8932874354561005,20.968357769632345,0.0325,36.5295663071041,WATCH
AAVAS,1381.6,0.06518432679074843,0.6263656227239555,15.775297123181161,0.0194,36.52595424247621,WATCH
HARSHA,389.45,0.7111455908973364,0.37371134020618263,19.507733533266688,0.021,36.52380379794265,WATCH
HDFCBSE500,36.57,0.7438016528925706,1.4987510407993314,9.791874930578697,0.0115,36.50669799809529,WATCH
BIGBLOC,47.91,-0.9100310237849117,-1.2164948453608317,23.034682883483285,0.0346,36.47030349738007,WATCH
ONMOBILE,53.99,-2.31590374525059,-2.2982265653275356,70.68268910363213,0.0302,36.46021281807691,WATCH
CERA,5300.5,0.9119293302364473,0.5501280470454329,2.479034766189048,0.0186,36.45197891860539,WATCH
BHARATCOAL,33.03,-0.9595202398800607,-1.2556053811659242,100.0,0.0159,36.40839499251089,WATCH
NEXT50ADD,71.26,1.9602232078981323,1.0493477027793663,5.690464289681217,0.0184,36.39529785506747,WATCH
DAMODARIND,32.11,0.40650406504064734,-1.5030674846625827,5.799455736976563,0.0297,36.374052024430135,WATCH
APOLSINHOT,1148.5,-0.9145026313519032,-0.8203799654576858,0.18292513606575586,0.0244,36.35135205643848,WATCH
SAKHTISUG,19.5,-0.5102040816326603,-0.964956830878625,27.26313451071865,0.0267,36.3478192219328,WATCH
AURIONPRO,859.15,-1.2357742269226348,-1.957092319981739,51.71401199600133,0.0298,36.32870765319015,WATCH
TRIGYN,60.56,2.176480512907034,-3.536158012105764,8.148672664667334,0.031,36.31228575296335,WATCH
ASALCBR,889.55,0.028111998200832114,0.18019032603186091,4.9965983561035205,0.0295,36.280332890350216,WATCH
TIMETECHNO,188.36,-2.409201595772228,-3.976345840130497,100.0,0.0272,36.26820312563113,WATCH
XCHANGING,66.43,-0.24027631776542513,-0.8507462686567062,19.084957791847163,0.0239,36.26802634519244,WATCH
PIIND,3047.5,-0.2389681812229993,-0.5806935699605318,73.27522770187716,0.0163,36.23618619431872,WATCH
WESTLIFE,481.2,1.1243038772722425,0.2499999999999976,26.70394590691992,0.0222,36.20321236951408,WATCH
SUKHJITS,179.17,-0.28938727809004966,-0.08922098923773211,7.905003887593025,0.028,36.170900607764864,WATCH
JLHL,1244.2,1.4927808140957626,0.7449392712550644,4.3280711984893925,0.016,36.16845597104972,WATCH
KILITCH,153.75,-0.17530190884301403,-0.17530190884301403,13.846079084749526,0.0277,36.160867208338644,WATCH
RUSTOMJEE,396.25,0.8141457829792618,0.31645569620253167,33.223300566477846,0.0204,36.16022743338256,WATCH
BAJEL,184.41,-2.0762531860662685,-2.42857142857143,69.81145173830944,0.0302,36.15593926250511,WATCH
AHLEAST,161.68,0.16107049931855988,0.16107049931855988,0.871931578362768,0.0229,36.140806784701866,WATCH
PIGL,111.84,0.3139295004036313,0.2959375840731757,9.325363767633013,0.0313,36.109301241141004,WATCH
ATLASCYCLE,101.0,0.4375497215592658,-0.9706834003333611,2.4155142730201042,0.0394,36.105055447228736,WATCH
SESHAPAPER,271.2,1.160058189414008,-1.0218978102189822,5.987587470843052,0.0209,36.10127438024255,WATCH
LINCOLN,642.0,-0.588417466707952,-0.7727975270479135,32.073683772075974,0.0258,36.092206549417305,WATCH
